brandId,brandName,brandUrl
162,思铭,https://car.autohome.com.cn//price/brand-162.html
65,斯巴鲁,https://car.autohome.com.cn//price/brand-65.html
238,斯达泰克,https://car.autohome.com.cn//price/brand-238.html
67,斯柯达,https://car.autohome.com.cn//price/brand-67.html
202,泰卡特,https://car.autohome.com.cn//price/brand-202.html
133,特斯拉,https://car.autohome.com.cn//price/brand-133.html
161,腾势,https://car.autohome.com.cn//price/brand-161.html
339,天际汽车,https://car.autohome.com.cn//price/brand-339.html
283,WEY,https://car.autohome.com.cn//price/brand-283.html
102,威麟,https://car.autohome.com.cn//price/brand-102.html
291,威马汽车,https://car.autohome.com.cn//price/brand-291.html
99,威兹曼,https://car.autohome.com.cn//price/brand-99.html
393,潍柴汽车,https://car.autohome.com.cn//price/brand-393.html
192,潍柴英致,https://car.autohome.com.cn//price/brand-192.html
284,蔚来,https://car.autohome.com.cn//price/brand-284.html
70,沃尔沃,https://car.autohome.com.cn//price/brand-70.html
114,五菱汽车,https://car.autohome.com.cn//price/brand-114.html
167,五十铃,https://car.autohome.com.cn//price/brand-167.html
98,西雅特,https://car.autohome.com.cn//price/brand-98.html
12,现代,https://car.autohome.com.cn//price/brand-12.html
275,小鹏汽车,https://car.autohome.com.cn//price/brand-275.html
396,新宝骏,https://car.autohome.com.cn//price/brand-396.html
185,新凯,https://car.autohome.com.cn//price/brand-185.html
324,新特汽车,https://car.autohome.com.cn//price/brand-324.html
350,星途,https://car.autohome.com.cn//price/brand-350.html
71,雪佛兰,https://car.autohome.com.cn//price/brand-71.html
72,雪铁龙,https://car.autohome.com.cn//price/brand-72.html
111,野马汽车,https://car.autohome.com.cn//price/brand-111.html
110,一汽,https://car.autohome.com.cn//price/brand-110.html
399,一汽凌河,https://car.autohome.com.cn//price/brand-399.html
144,依维柯,https://car.autohome.com.cn//price/brand-144.html
375,银隆新能源,https://car.autohome.com.cn//price/brand-375.html
73,英菲尼迪,https://car.autohome.com.cn//price/brand-73.html
93,永源,https://car.autohome.com.cn//price/brand-93.html
298,宇通客车,https://car.autohome.com.cn//price/brand-298.html
263,驭胜,https://car.autohome.com.cn//price/brand-263.html
232,御捷,https://car.autohome.com.cn//price/brand-232.html
307,裕路,https://car.autohome.com.cn//price/brand-307.html
382,远程汽车,https://car.autohome.com.cn//price/brand-382.html
286,云度,https://car.autohome.com.cn//price/brand-286.html
317,云雀汽车,https://car.autohome.com.cn//price/brand-317.html
182,之诺,https://car.autohome.com.cn//price/brand-182.html
206,知豆,https://car.autohome.com.cn//price/brand-206.html
22,中华,https://car.autohome.com.cn//price/brand-22.html
74,中兴,https://car.autohome.com.cn//price/brand-74.html
94,众泰,https://car.autohome.com.cn//price/brand-94.html
